Date,gold,dxy,crude,us10y,sp500,gold_ret,dxy_ret,crude_ret,us10y_ret,sp500_ret,gold_vol_30d,gold_ma20,gold_ma50,gold_peak,gold_drawdown,gold_ret_lag1,dxy_ret_lag1,us10y_ret_lag1,gold_ret_lag5,dxy_ret_lag5,us10y_ret_lag5,gold_ret_lag10,dxy_ret_lag10,us10y_ret_lag10,gold_ret_lag21,dxy_ret_lag21,us10y_ret_lag21,target_next_gold_ret
2021-03-18,162.55999755859375,91.8499984741211,60.0,1.7300000190734863,3915.4599609375,-0.0058269675795917875,0.004911299893786582,-0.07386982494603866,0.05281558766762189,-0.014870560065947797,0.16562287952222152,162.93149948120117,168.68259979248046,179.89999389648438,-0.09638686451467127,0.0071195808075622735,-0.005129069025150484,0.012262557344130428,-0.0008663865026826478,-0.004039116330590868,0.004594671450517154,-0.00988559566723337,0.007448827592523974,0.0529924799140812,-0.011417786234196115,0.004849505968666421,0.0015384420207045836,0.004174394816826358
2021-03-19,163.24000549316406,91.91999816894533,61.41999816894531,1.7319999933242798,3913.10009765625,0.004174394816826358,0.0007618185720018744,0.0233909229785483,0.0011553867510773763,-0.0006028856737550234,0.15526086110975715,162.74300003051758,168.34940002441405,179.89999389648438,-0.09260694257114077,-0.0058269675795917875,0.004911299893786582,0.05281558766762189,-0.00018574519969141986,0.0028400034205757637,0.06833780475599051,0.0006286134207733884,0.003812499605701413,0.0025773646654792775,-6.0090224343136566e-05,-0.003966080153793898,-0.010819316125700418,-0.0014713433816878438
2021-03-22,163.0,91.8000030517578,61.54999923706055,1.684000015258789,3940.590087890625,-0.0014713433816878438,-0.0013062827504168105,0.00211435503437142,-0.028104881404727902,0.007000556898342752,0.1518396424171911,162.4175003051758,168.01980010986327,179.89999389648438,-0.09394104763677058,0.004174394816826358,0.0007618185720018744,0.0011553867510773763,0.004386867610048303,0.0016348052699080792,-0.017273715915121453,-0.010422315048141234,0.003581252946033692,0.026668206707816607,0.004139970385631239,-0.002542092901632561,0.04408015165371227,-0.007327408483150656
2021-03-23,161.80999755859375,92.33999633789062,57.7599983215332,1.6380000114440918,3910.52001953125,-0.007327408483150656,0.0058650465498778625,-0.06355337470977825,-0.02769593246367087,-0.007660118119334028,0.14883193756679225,162.0520004272461,167.78920013427734,179.89999389648438,-0.100555847424318,-0.0014713433816878438,-0.0013062827504168105,-0.028104881404727902,0.0009244132771239594,0.0004355026147284354,0.008674191921846831,0.02104806019448947,-0.0037987616148854562,-0.03182951890807008,0.014858231751961605,-0.003880899352217214,0.018416708995248374,0.003454859203276189
2021-03-24,162.3699951171875,92.52999877929688,61.18000030517578,1.6139999628067017,3889.139892578125,0.003454859203276189,0.0020555256485557784,0.0575238781856778,-0.014760445613920785,-0.00548233660034883,0.14889230994082203,161.72050018310546,167.5766000366211,179.89999389648438,-0.09744302042268971,-0.007327408483150656,0.0058650465498778625,-0.02769593246367087,0.0071195808075622735,-0.005129069025150484,0.012262557344130428,0.005085327698430273,-0.0018503207341171804,-0.016960630322854244,-0.0023033964742125187,0.0017759582028696007,-0.005856543995693047,-0.0036402714825327686
2021-03-25,161.77999877929688,92.87999725341795,58.560001373291016,1.6139999628067017,3909.52001953125,-0.0036402714825327686,0.003775404749911878,-0.04376845060685628,0.0,0.005226583432729291,0.14801067951331423,161.51849975585938,167.32980010986327,179.89999389648438,-0.1007225999552499,0.003454859203276189,0.0020555256485557784,-0.014760445613920785,-0.0058269675795917875,0.004911299893786582,0.05281558766762189,-0.0008663865026826478,-0.004039116330590868,0.004594671450517154,-0.0007097783269727351,0.00011091917189162994,0.019629906329327495,0.002839374216722469
2021-03-26,162.24000549316406,92.7699966430664,60.970001220703125,1.659999966621399,3974.5400390625,0.002839374216722469,-0.0011850323387106534,0.04033006683703419,0.02810203545727887,0.016494418658716575,0.14736076683885116,161.54000015258788,167.10720031738282,179.89999389648438,-0.09816558645066986,-0.0036402714825327686,0.003775404749911878,0.0,0.004174394816826358,0.0007618185720018744,0.0011553867510773763,-0.00018574519969141986,0.0028400034205757637,0.06833780475599051,-0.018995808065307287,-0.000554634282254968,0.08880957771691461,-0.011967328788777756
2021-03-29,160.30999755859375,92.94000244140624,61.560001373291016,1.7209999561309814,3971.090087890625,-0.011967328788777756,0.0018308744458312438,0.009630371337751558,0.036087909478118047,-0.0008683896263867381,0.15025967402824866,161.47900009155273,166.84780029296874,179.89999389648438,-0.10889381324361158,0.002839374216722469,-0.0011850323387106534,0.02810203545727887,-0.0014713433816878438,-0.0013062827504168105,-0.028104881404727902,0.004386867610048303,0.0016348052699080792,-0.017273715915121453,-0.024480114534154506,0.008836940999226028,-0.03895722152283751,-0.01723957501602924
2021-03-30,157.57000732421875,93.3000030517578,60.54999923706055,1.72599995136261,3958.550048828125,-0.01723957501602924,0.003865990636925039,-0.0165428738799043,0.002901072743004549,-0.0031628294096500294,0.15244965556149634,161.23700027465821,166.57660034179688,179.89999389648438,-0.12412444318988936,-0.011967328788777756,0.0018308744458312438,0.036087909478118047,-0.007327408483150656,0.0058650465498778625,-0.02769593246367087,0.0009244132771239594,0.0004355026147284354,0.008674191921846831,-0.0017319159550744983,0.0012089973403573277,-0.009635351961777438,0.015053975494509144
2021-03-31,159.9600067138672,93.2300033569336,59.15999984741211,1.746000051498413,3972.889892578125,0.015053975494509144,-0.0007505462467722792,-0.023223822135586915,0.011520922430508715,0.003615953592419885,0.15773127209618126,161.2040008544922,166.32420043945314,179.89999389648438,-0.11083928771054208,-0.01723957501602924,0.003865990636925039,0.002901072743004549,0.003454859203276189,0.0020555256485557784,-0.014760445613920785,0.0071195808075622735,-0.005129069025150484,0.012262557344130428,0.005433148366520264,-0.002749822966663785,-0.021671605750321756,0.012549018493591777
