Date,gold,dxy,crude,us10y,sp500
,GLD,DX-Y.NYB,CL=F,^TNX,^GSPC
2021-01-04,182.3300018310547,89.87999725341797,47.619998931884766,0.9169999957084656,3700.64990234375
2021-01-05,182.8699951171875,89.44000244140625,49.93000030517578,0.9549999833106995,3726.860107421875
2021-01-06,179.89999389648438,89.52999877929688,50.630001068115234,1.0420000553131104,3748.139892578125
2021-01-07,179.47999572753906,89.83000183105469,50.83000183105469,1.0709999799728394,3803.7900390625
2021-01-08,173.33999633789062,90.0999984741211,52.2400016784668,1.1050000190734863,3824.679931640625
2021-01-11,173.0,90.54000091552734,52.25,1.1319999694824219,3799.610107421875
2021-01-12,174.1199951171875,90.05000305175781,53.209999084472656,1.1380000114440918,3801.18994140625
2021-01-13,173.3699951171875,90.31999969482422,52.90999984741211,1.0880000591278076,3809.840087890625
2021-01-14,173.27999877929688,90.23999786376953,53.56999969482422,1.128999948501587,3795.5400390625
2021-01-15,171.1300048828125,90.77999877929688,52.36000061035156,1.097000002861023,3768.25
2021-01-19,172.5800018310547,90.5,52.97999954223633,1.0920000076293945,3798.909912109375
2021-01-20,175.38999938964844,90.47000122070312,53.2400016784668,1.090000033378601,3851.85009765625
2021-01-21,175.27999877929688,90.12999725341797,53.130001068115234,1.1089999675750732,3853.070068359375
2021-01-22,173.89999389648438,90.23999786376953,52.27000045776367,1.090999960899353,3841.469970703125
2021-01-25,174.0500030517578,90.38999938964844,52.77000045776367,1.0399999618530273,3855.360107421875
2021-01-26,173.6199951171875,90.16999816894531,52.61000061035156,1.0399999618530273,3849.6201171875
2021-01-27,172.52000427246094,90.6500015258789,52.849998474121094,1.0140000581741333,3750.77001953125
2021-01-28,172.67999267578125,90.45999908447266,52.34000015258789,1.0570000410079956,3787.3798828125
2021-01-29,172.61000061035156,90.58000183105469,52.20000076293945,1.093000054359436,3714.239990234375
2021-02-01,174.22999572753906,91.0199966430664,53.54999923706055,1.0770000219345093,3773.860107421875
2021-02-02,172.11000061035156,91.19999694824219,54.7599983215332,1.1050000190734863,3826.31005859375
2021-02-03,171.85000610351562,91.12000274658203,55.689998626708984,1.13100004196167,3830.169921875
2021-02-04,168.14999389648438,91.52999877929688,56.22999954223633,1.1390000581741333,3871.739990234375
2021-02-05,169.80999755859375,91.04000091552734,56.849998474121094,1.1699999570846558,3886.830078125
2021-02-08,171.52000427246094,90.93000030517578,57.970001220703125,1.159999966621399,3915.590087890625
2021-02-09,172.0800018310547,90.44000244140625,58.36000061035156,1.156999945640564,3911.22998046875
2021-02-10,172.7100067138672,90.37000274658203,58.68000030517578,1.1330000162124634,3909.8798828125
2021-02-11,171.2100067138672,90.41999816894531,58.2400016784668,1.1579999923706055,3916.3798828125
2021-02-12,170.69000244140625,90.4800033569336,59.470001220703125,1.2000000476837158,3934.830078125
2021-02-16,168.24000549316406,90.51000213623047,60.04999923706055,1.2990000247955322,3932.590087890625
2021-02-17,166.3300018310547,90.94999694824219,61.13999938964844,1.3009999990463257,3931.330078125
2021-02-18,166.32000732421875,90.58999633789062,60.52000045776367,1.2869999408721924,3913.969970703125
2021-02-19,167.00999450683594,90.36000061035156,59.2400016784668,1.3450000286102295,3906.7099609375
2021-02-22,169.50999450683594,90.01000213623047,61.4900016784668,1.3700000047683716,3876.5
2021-02-23,169.1199951171875,90.16999816894531,61.66999816894531,1.3619999885559082,3881.3701171875
2021-02-24,169.0,90.18000030517578,63.220001220703125,1.3890000581741333,3925.429931640625
2021-02-25,165.82000732421875,90.12999725341797,63.529998779296875,1.5180000066757202,3829.340087890625
2021-02-26,161.80999755859375,90.93000030517578,61.5,1.4600000381469727,3811.14990234375
2021-03-01,161.52999877929688,91.04000091552734,60.63999938964844,1.4459999799728394,3901.820068359375
2021-03-02,162.41000366210938,90.79000091552734,59.75,1.4149999618530273,3870.2900390625
2021-03-03,160.6199951171875,90.94999694824219,61.279998779296875,1.4700000286102295,3819.719970703125
2021-03-04,159.0399932861328,91.62999725341797,63.83000183105469,1.5499999523162842,3768.469970703125
2021-03-05,159.13999938964844,91.9800033569336,66.08999633789062,1.5540000200271606,3841.93994140625
2021-03-08,157.49000549316406,92.30999755859375,65.05000305175781,1.5959999561309814,3821.35009765625
2021-03-09,160.83999633789062,91.95999908447266,64.01000213623047,1.5460000038146973,3875.43994140625
2021-03-10,161.66000366210938,91.79000091552734,64.44000244140625,1.5199999809265137,3898.81005859375
2021-03-11,161.52000427246094,91.41999816894531,66.0199966430664,1.5269999504089355,3939.340087890625
2021-03-12,161.49000549316406,91.68000030517578,65.61000061035156,1.6349999904632568,3943.340087890625
2021-03-15,162.1999969482422,91.83000183105469,65.38999938964844,1.6069999933242798,3968.93994140625
2021-03-16,162.35000610351562,91.87000274658203,64.80000305175781,1.621000051498413,3962.7099609375
2021-03-17,163.50999450683594,91.4000015258789,64.5999984741211,1.6410000324249268,3974.1201171875
2021-03-18,162.55999755859375,91.8499984741211,60.0,1.7300000190734863,3915.4599609375
2021-03-19,163.24000549316406,91.91999816894531,61.41999816894531,1.7319999933242798,3913.10009765625
2021-03-22,163.0,91.80000305175781,61.54999923706055,1.684000015258789,3940.590087890625
2021-03-23,161.80999755859375,92.33999633789062,57.7599983215332,1.6380000114440918,3910.52001953125
2021-03-24,162.3699951171875,92.52999877929688,61.18000030517578,1.6139999628067017,3889.139892578125
2021-03-25,161.77999877929688,92.87999725341797,58.560001373291016,1.6139999628067017,3909.52001953125
2021-03-26,162.24000549316406,92.7699966430664,60.970001220703125,1.659999966621399,3974.5400390625
